XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
*down: administratively down
!down: FIB overload down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 503
The number of interface that is DOWN in Physical is 80
The number of interface that is UP in Protocol is 498
The number of interface that is DOWN in Protocol is 85
Interface                         IP Address/Mask      Physical   Protocol VPN 
Eth-Trunk22.2894                  10.10.2.3/25         up         up       l3vpn
Eth-Trunk22.2897                  10.10.5.3/25         up         up       l3vpn
Eth-Trunk22.2900                  10.10.16.2/28        up         up       l3vpn
Eth-Trunk22.2901                  10.10.16.18/28       up         up       l3vpn
Eth-Trunk22.2902                  10.10.16.34/28       up         up       l3vpn
Eth-Trunk22.2903                  10.10.16.50/28       up         up       l3vpn
Eth-Trunk22.2904                  10.10.16.66/28       up         up       l3vpn
Eth-Trunk22.2905                  10.10.16.82/28       up         up       l3vpn
Eth-Trunk22.2906                  10.10.16.98/28       up         up       l3vpn
Eth-Trunk22.2907                  10.10.16.114/28      up         up       l3vpn
Eth-Trunk22.2908                  10.10.16.130/28      up         up       l3vpn
Eth-Trunk22.2909                  10.10.16.146/28      up         up       l3vpn
Eth-Trunk22.2910                  10.10.16.242/28      up         up       l3vpn
Eth-Trunk22.2911                  10.8.40.2/28         up         up       l3vpn
Eth-Trunk22.3100                  10.128.3.115/29      up         up       l3vpn
Eth-Trunk22.3105                  10.128.1.3/28        up         up       l3vpn
Eth-Trunk22.3106                  10.128.2.131/29      up         up       l3vpn
Eth-Trunk22.3108                  10.128.0.121/29      up         up       l3vpn
Eth-Trunk22.3109                  10.128.0.3/27        up         up       l3vpn
Eth-Trunk22.3111                  10.128.0.137/29      up         up       l3vpn
Eth-Trunk22.3112                  10.128.0.35/28       up         up       l3vpn
Eth-Trunk22.3113                  10.128.3.35/28       up         up       l3vpn
Eth-Trunk22.3114                  10.128.3.123/29      up         up       l3vpn
Eth-Trunk22.3117                  10.128.0.51/28       up         up       l3vpn
Eth-Trunk22.3118                  10.128.0.147/29      up         up       l3vpn
Eth-Trunk22.3119                  10.128.0.155/29      up         up       l3vpn
Eth-Trunk22.3120                  10.128.3.51/28       up         up       l3vpn
Eth-Trunk22.3121                  10.128.4.3/28        up         up       l3vpn
Eth-Trunk22.3122                  10.128.4.19/28       up         up       l3vpn
Eth-Trunk22.3125                  41.242.195.131/29    up         up       l3vpn
Eth-Trunk22.3126                  10.128.2.139/29      up         up       l3vpn
Eth-Trunk22.3127                  10.128.0.163/29      up         up       l3vpn
Eth-Trunk22.3128                  10.128.0.171/29      up         up       l3vpn
Eth-Trunk22.3129                  10.128.0.179/29      up         up       l3vpn
Eth-Trunk22.3130                  10.128.3.67/28       up         up       l3vpn
Eth-Trunk22.3131                  10.128.4.35/28       up         up       l3vpn
Eth-Trunk22.3132                  10.128.4.51/28       up         up       l3vpn
Eth-Trunk22.3135                  10.128.2.147/29      up         up       l3vpn
Eth-Trunk22.3136                  10.128.0.67/28       up         up       l3vpn
Eth-Trunk22.3137                  10.128.0.83/28       up         up       l3vpn
Eth-Trunk22.3138                  10.128.0.99/28       up         up       l3vpn
Eth-Trunk22.3139                  10.128.3.83/28       up         up       l3vpn
Eth-Trunk22.3148                  10.128.1.145/28      up         up       l3vpn
Eth-Trunk22.3150                  10.128.1.169/29      up         up       l3vpn
Eth-Trunk22.3161                  10.128.1.33/28       up         up       l3vpn
Eth-Trunk22.3163                  10.128.1.89/29       up         up       l3vpn
Eth-Trunk22.3165                  10.128.1.65/28       up         up       l3vpn
Eth-Trunk22.3168                  10.128.0.209/29      up         up       l3vpn
Eth-Trunk22.3169                  10.128.0.217/29      up         up       l3vpn
Eth-Trunk22.3170                  10.128.3.99/28       up         up       l3vpn
Eth-Trunk22.3171                  10.128.3.195/28      up         up       l3vpn
Eth-Trunk22.3172                  10.128.3.211/28      up         up       l3vpn
Eth-Trunk22.3175                  10.128.8.2/29        up         up       l3vpn
Eth-Trunk22.3176                  10.128.8.10/29       up         up       l3vpn
Eth-Trunk22.3177                  10.128.8.18/29       up         up       l3vpn
Eth-Trunk22.3183                  10.128.8.34/27       up         up       l3vpn
Eth-Trunk22.3184                  10.128.8.66/27       up         up       l3vpn
Eth-Trunk22.3185                  10.128.8.98/27       up         up       l3vpn
Eth-Trunk22.3186                  10.128.8.130/27      up         up       l3vpn
Eth-Trunk22.3187                  10.128.8.162/27      up         up       l3vpn
Eth-Trunk22.3189                  10.128.8.194/27      up         up       l3vpn
Eth-Trunk22.3190                  10.128.8.226/27      up         up       l3vpn
Eth-Trunk22.3191                  10.128.9.2/27        up         up       l3vpn
Eth-Trunk22.3192                  10.128.9.34/27       up         up       l3vpn
Eth-Trunk22.3193                  10.128.9.66/27       up         up       l3vpn
Eth-Trunk22.3195                  10.128.9.98/27       up         up       l3vpn
Eth-Trunk22.3197                  10.128.9.130/27      up         up       l3vpn
Eth-Trunk22.3199                  10.128.9.162/27      up         up       l3vpn
Eth-Trunk22.3201                  10.128.9.194/27      up         up       l3vpn
Eth-Trunk22.3202                  10.128.9.226/27      up         up       l3vpn
Eth-Trunk22.3204                  10.128.10.2/27       up         up       l3vpn
Eth-Trunk22.3205                  10.128.7.3/28        up         up       l3vpn
Eth-Trunk22.3207                  10.128.7.33/28       up         up       l3vpn
Eth-Trunk22.3209                  10.128.7.19/28       up         up       l3vpn
Eth-Trunk22.3213                  10.127.0.3/24        up         up       l3vpn
Eth-Trunk22.3214                  10.127.1.3/24        up         up       l3vpn
Eth-Trunk22.3215                  10.127.2.3/24        up         up       l3vpn
Eth-Trunk22.3216                  10.127.3.3/24        up         up       l3vpn
Eth-Trunk22.3217                  10.127.4.3/24        up         up       l3vpn
Eth-Trunk22.3218                  10.127.5.3/24        up         up       l3vpn
Eth-Trunk22.3248                  10.128.3.3/28        up         up       l3vpn
Eth-Trunk22.3250                  10.128.4.66/28       up         up       l3vpn
Eth-Trunk22.3252                  10.128.4.82/28       up         up       l3vpn
Eth-Trunk22.3253                  10.128.0.186/29      up         up       l3vpn
Eth-Trunk22.3901                  10.11.104.126/26     up         up       l3vpn
Eth-Trunk22.3905                  10.11.107.254/25     up         up       l3vpn
Eth-Trunk22.3953                  10.11.32.3/29        up         up       l3vpn
Eth-Trunk22.3955                  10.11.32.10/29       up         up       l3vpn
Eth-Trunk22.3956                  10.11.32.18/29       up         up       l3vpn
Eth-Trunk22.3958                  10.11.32.26/29       up         up       l3vpn
Eth-Trunk22.3959                  10.11.32.34/29       up         up       l3vpn
Eth-Trunk22.3960                  10.11.32.42/29       up         up       l3vpn
Eth-Trunk22.3961                  10.11.32.50/29       up         up       l3vpn
Eth-Trunk22.3963                  10.11.32.58/29       up         up       l3vpn
Eth-Trunk22.4001                  10.195.2.35/28       up         up       l3vpn
